Respondent,CareerSatisfaction
17220,Extremely satisfied
17221,Neither satisfied nor dissatisfied
17223,Slightly dissatisfied
17224,Moderately satisfied
17225,Moderately satisfied
17229,Slightly satisfied
17231,Extremely dissatisfied
17232,Moderately satisfied
17235,Slightly satisfied
17236,Moderately satisfied
17237,Extremely satisfied
17241,Extremely satisfied
17242,Slightly dissatisfied
17243,Moderately satisfied
17245,Slightly satisfied
17246,Extremely satisfied
17247,Moderately satisfied
17248,Moderately satisfied
17249,Moderately satisfied
17251,Neither satisfied nor dissatisfied
17253,Moderately satisfied
17255,Extremely satisfied
17257,Slightly dissatisfied
17259,Moderately satisfied
17260,Moderately satisfied
17261,Slightly dissatisfied
17263,Slightly satisfied
17265,Extremely satisfied
17266,Moderately satisfied
17267,Extremely satisfied
17268,Moderately satisfied
17269,Moderately satisfied
17272,Extremely satisfied
17273,Extremely satisfied
17278,Moderately satisfied
17280,Moderately satisfied
17282,Slightly satisfied
17283,Slightly dissatisfied
17285,Slightly satisfied
17287,Extremely satisfied
17289,Moderately satisfied
17293,Moderately dissatisfied
17294,Moderately satisfied
17296,Slightly dissatisfied
17298,Slightly satisfied
17299,Moderately satisfied
17300,Moderately satisfied
17301,Moderately satisfied
17302,Moderately satisfied
17308,Extremely satisfied
17309,Moderately satisfied
17310,Moderately dissatisfied
17311,Moderately satisfied
17314,Slightly dissatisfied
17315,Slightly satisfied
17317,Moderately satisfied
17318,Moderately satisfied
17321,Moderately satisfied
17326,Slightly satisfied
17327,Slightly satisfied
17328,Extremely dissatisfied
17330,Moderately satisfied
17331,Extremely satisfied
17332,Moderately dissatisfied
17333,Moderately satisfied
17334,Moderately satisfied
17335,Moderately satisfied
17336,Moderately satisfied
17337,Moderately dissatisfied
17338,Moderately satisfied
17339,Moderately satisfied
17341,Moderately dissatisfied
17342,Slightly satisfied
17343,Extremely satisfied
17346,Extremely satisfied
17347,Extremely satisfied
17349,Moderately dissatisfied
17351,Moderately dissatisfied
17352,Moderately satisfied
17353,Moderately dissatisfied
17355,Moderately satisfied
17356,Slightly dissatisfied
17359,Moderately dissatisfied
17360,Moderately satisfied
17362,Extremely satisfied
17363,Moderately satisfied
17364,Slightly satisfied
17366,Moderately satisfied
17367,Slightly satisfied
17368,Moderately dissatisfied
17370,Extremely satisfied
17371,Moderately dissatisfied
17373,Extremely satisfied
17374,Slightly dissatisfied
17377,Extremely satisfied
17378,Extremely satisfied
17379,Moderately satisfied
17380,Extremely satisfied
17381,Moderately satisfied
17383,Extremely satisfied
17385,Moderately satisfied
17386,Moderately satisfied
17388,Extremely satisfied
17390,Slightly satisfied
17392,Slightly satisfied
17393,Slightly dissatisfied
17394,Slightly satisfied
17395,Moderately satisfied
17396,Moderately satisfied
17397,Moderately satisfied
17402,Moderately satisfied
17408,Slightly satisfied
17409,Moderately satisfied
17411,Moderately satisfied
17412,Neither satisfied nor dissatisfied
17414,Slightly satisfied
17416,Slightly satisfied
17417,Moderately satisfied
17420,Extremely satisfied
17423,Slightly dissatisfied
17424,Slightly satisfied
17427,Moderately satisfied
17430,Moderately dissatisfied
17432,Moderately satisfied
17434,Moderately satisfied
17435,Slightly dissatisfied
17436,Slightly satisfied
17437,Extremely satisfied
17438,Slightly satisfied
17439,Moderately satisfied
17440,Moderately satisfied
17442,Slightly satisfied
17444,Extremely satisfied
17445,Slightly satisfied
17446,Slightly satisfied
17447,Moderately satisfied
17449,Moderately satisfied
17450,Extremely satisfied
17453,Extremely satisfied
17456,Extremely satisfied
17457,Slightly satisfied
17458,Neither satisfied nor dissatisfied
17459,Moderately satisfied
17460,Slightly dissatisfied
17461,Neither satisfied nor dissatisfied
17462,Moderately satisfied
17463,Moderately satisfied
17465,Moderately satisfied
17466,Extremely satisfied
17468,Moderately satisfied
17469,Slightly satisfied
17471,Moderately satisfied
17474,Moderately dissatisfied
17476,Moderately satisfied
17477,Slightly satisfied
17478,Slightly satisfied
17479,Slightly satisfied
17480,Moderately satisfied
17481,Moderately satisfied
17483,Extremely satisfied
17485,Moderately satisfied
17487,Moderately dissatisfied
17488,Moderately satisfied
17489,Moderately dissatisfied
17490,Moderately dissatisfied
17494,Extremely satisfied
17495,Extremely dissatisfied
17496,Moderately satisfied
17498,Extremely satisfied
17500,Moderately satisfied
17506,Extremely satisfied
17507,Moderately satisfied
17508,Extremely satisfied
17509,Slightly dissatisfied
17510,Moderately satisfied
17511,Extremely satisfied
17512,Slightly satisfied
17513,Moderately satisfied
17515,Moderately satisfied
17518,Moderately satisfied
17520,Moderately dissatisfied
17521,Moderately satisfied
17523,Moderately satisfied
17524,Moderately satisfied
17526,Slightly satisfied
17527,Moderately satisfied
17528,Moderately dissatisfied
17530,Moderately satisfied
17531,Extremely satisfied
17533,Slightly satisfied
17535,Slightly satisfied
17539,Neither satisfied nor dissatisfied
17540,Moderately satisfied
17541,Slightly dissatisfied
17542,Moderately satisfied
17543,Slightly satisfied
17545,Extremely satisfied
17546,Slightly satisfied
17548,Slightly dissatisfied
17549,Moderately dissatisfied
17551,Extremely satisfied
17552,Slightly satisfied
17554,Moderately satisfied
17555,Extremely satisfied
17556,Neither satisfied nor dissatisfied
17557,Extremely satisfied
17558,Extremely dissatisfied
17561,Slightly satisfied
17562,Slightly dissatisfied
17563,Moderately satisfied
17564,Moderately satisfied
17566,Slightly dissatisfied
17567,Moderately satisfied
17569,Moderately satisfied
17570,Slightly satisfied
17573,Extremely satisfied
17574,Slightly satisfied
17576,Moderately satisfied
17578,Moderately satisfied
17579,Slightly satisfied
17580,Moderately satisfied
17581,Moderately satisfied
17582,Slightly dissatisfied
17583,Slightly dissatisfied
17584,Moderately satisfied
17585,Extremely satisfied
17587,Moderately satisfied
17588,Slightly satisfied
17589,Slightly satisfied
17590,Slightly satisfied
17593,Slightly dissatisfied
17594,Slightly satisfied
17595,Slightly dissatisfied
17596,Extremely satisfied
17599,Moderately satisfied
17600,Neither satisfied nor dissatisfied
17602,Extremely satisfied
17604,Extremely satisfied
17605,Moderately satisfied
17606,Moderately satisfied
17607,Extremely satisfied
17608,Moderately satisfied
17609,Slightly satisfied
17610,Moderately satisfied
17612,Moderately satisfied
17613,Extremely satisfied
17616,Moderately satisfied
17617,Moderately satisfied
17622,Moderately satisfied
17623,Neither satisfied nor dissatisfied
17624,Extremely satisfied
17625,Moderately satisfied
17628,Neither satisfied nor dissatisfied
17629,Slightly satisfied
17630,Moderately satisfied
17632,Moderately satisfied
17633,Slightly satisfied
17636,Slightly dissatisfied
17637,Moderately satisfied
17638,Extremely satisfied
17639,Moderately dissatisfied
17642,Moderately satisfied
17643,Extremely dissatisfied
17645,Moderately satisfied
17648,Slightly satisfied
17649,Moderately satisfied
17650,Moderately satisfied
17651,Moderately satisfied
17652,Extremely satisfied
17653,Neither satisfied nor dissatisfied
17654,Moderately satisfied
17655,Slightly satisfied
17656,Moderately satisfied
17657,Extremely satisfied
17658,Extremely dissatisfied
17659,Moderately satisfied
17660,Moderately satisfied
17661,Neither satisfied nor dissatisfied
17662,Slightly satisfied
17665,Moderately dissatisfied
17666,Slightly satisfied
17667,Slightly dissatisfied
17668,Moderately satisfied
17670,Moderately satisfied
17672,Slightly dissatisfied
17673,Extremely satisfied
17677,Moderately satisfied
17678,Neither satisfied nor dissatisfied
17679,Moderately satisfied
17681,Slightly dissatisfied
17682,Slightly dissatisfied
17683,Moderately satisfied
17685,Moderately dissatisfied
17688,Moderately dissatisfied
17690,Slightly dissatisfied
17692,Extremely satisfied
17693,Slightly dissatisfied
17694,Extremely satisfied
17696,Moderately satisfied
17697,Moderately satisfied
17698,Moderately satisfied
17701,Slightly satisfied
17705,Moderately satisfied
17710,Moderately satisfied
17712,Slightly satisfied
17713,Slightly dissatisfied
17714,Moderately dissatisfied
17716,Neither satisfied nor dissatisfied
17719,Moderately satisfied
17721,Moderately satisfied
17723,Moderately dissatisfied
17724,Slightly dissatisfied
17726,Moderately satisfied
17729,Moderately satisfied
17731,Extremely satisfied
17735,Neither satisfied nor dissatisfied
17736,Extremely satisfied
17740,Moderately satisfied
17742,Moderately satisfied
17744,Extremely satisfied
17745,Moderately satisfied
17748,Moderately dissatisfied
17750,Moderately satisfied
17751,Moderately dissatisfied
17753,Moderately satisfied
17755,Neither satisfied nor dissatisfied
17758,Slightly satisfied
17759,Moderately satisfied
17761,Moderately satisfied
17765,Slightly dissatisfied
17766,Slightly dissatisfied
17773,Slightly satisfied
17774,Slightly dissatisfied
17775,Moderately satisfied
17776,Extremely satisfied
17778,Moderately dissatisfied
17780,Extremely satisfied
17781,Moderately satisfied
17782,Slightly satisfied
17784,Moderately satisfied
17786,Neither satisfied nor dissatisfied
17789,Moderately satisfied
17791,Moderately satisfied
17792,Moderately satisfied
17794,Moderately satisfied
17795,Slightly dissatisfied
17796,Neither satisfied nor dissatisfied
17797,Moderately satisfied
17798,Moderately satisfied
17800,Moderately satisfied
17801,Slightly satisfied
17802,Slightly satisfied
17804,Extremely satisfied
17806,Moderately satisfied
17809,Slightly satisfied
17811,Extremely dissatisfied
17812,Moderately satisfied
17813,Moderately satisfied
17814,Moderately satisfied
17817,Extremely satisfied
17818,Slightly satisfied
17819,Extremely satisfied
17820,Extremely satisfied
17822,Slightly satisfied
17826,Slightly satisfied
17828,Moderately satisfied
17829,Moderately dissatisfied
17830,Moderately satisfied
17832,Extremely satisfied
17833,Extremely satisfied
17835,Moderately dissatisfied
17842,Slightly satisfied
17843,Moderately satisfied
17844,Moderately dissatisfied
17845,Neither satisfied nor dissatisfied
17846,Slightly satisfied
17848,Moderately satisfied
17849,Slightly dissatisfied
17851,Extremely satisfied
17853,Moderately satisfied
17855,Moderately satisfied
17856,Moderately satisfied
17858,Moderately dissatisfied
17859,Neither satisfied nor dissatisfied
17864,Extremely satisfied
17865,Moderately satisfied
17866,Moderately satisfied
17867,Moderately satisfied
17870,Moderately satisfied
17871,Slightly satisfied
17872,Moderately satisfied
17873,Extremely satisfied
17874,Slightly dissatisfied
17875,Moderately satisfied
17877,Extremely satisfied
17878,Slightly dissatisfied
17880,Moderately satisfied
17881,Slightly satisfied
17882,Moderately satisfied
17884,Moderately satisfied
17885,Extremely satisfied
17886,Moderately satisfied
17888,Extremely satisfied
17891,Extremely dissatisfied
17892,Moderately satisfied
17894,Moderately satisfied
17895,Moderately dissatisfied
17897,Moderately satisfied
17900,Extremely satisfied
17901,Slightly dissatisfied
17902,Slightly satisfied
17904,Moderately satisfied
17905,Moderately satisfied
17906,Slightly dissatisfied
17907,Extremely satisfied
17908,Moderately dissatisfied
17909,Extremely satisfied
17910,Slightly dissatisfied
17912,Moderately satisfied
17914,Moderately dissatisfied
17916,Slightly satisfied
17921,Moderately satisfied
17923,Extremely satisfied
17925,Moderately satisfied
17926,Extremely satisfied
17927,Extremely satisfied
17929,Neither satisfied nor dissatisfied
17931,Extremely satisfied
17932,Moderately satisfied
17933,Slightly satisfied
17936,Moderately satisfied
17937,Neither satisfied nor dissatisfied
17938,Extremely satisfied
17939,Moderately satisfied
17940,Moderately dissatisfied
17941,Moderately satisfied
17942,Extremely satisfied
17946,Slightly dissatisfied
17947,Slightly dissatisfied
17951,Slightly satisfied
17952,Moderately satisfied
17953,Neither satisfied nor dissatisfied
17957,Slightly satisfied
17958,Moderately satisfied
17960,Moderately satisfied
17961,Moderately satisfied
17964,Moderately satisfied
17971,Moderately satisfied
17972,Moderately satisfied
17973,Moderately satisfied
17975,Moderately satisfied
17976,Moderately satisfied
17978,Moderately satisfied
17979,Moderately satisfied
17982,Moderately satisfied
17984,Slightly satisfied
17985,Neither satisfied nor dissatisfied
17986,Moderately dissatisfied
17987,Neither satisfied nor dissatisfied
17989,Slightly satisfied
17990,Slightly satisfied
17991,Slightly satisfied
17992,Moderately satisfied
17994,Moderately satisfied
17995,Neither satisfied nor dissatisfied
17997,Extremely satisfied
18000,Extremely dissatisfied
18002,Slightly dissatisfied
18003,Moderately satisfied
18004,Moderately satisfied
18005,Slightly dissatisfied
18006,Slightly dissatisfied
18007,Moderately satisfied
18008,Moderately satisfied
18010,Moderately satisfied
18011,Extremely dissatisfied
18014,Slightly satisfied
18015,Moderately satisfied
18016,Moderately satisfied
18021,Slightly satisfied
18022,Extremely dissatisfied
18026,Moderately satisfied
18027,Extremely satisfied
18029,Extremely satisfied
18030,Moderately satisfied
18031,Slightly satisfied
18033,Slightly satisfied
18034,Extremely dissatisfied
18035,Moderately satisfied
18040,Slightly satisfied
18041,Moderately satisfied
18043,Extremely satisfied
18044,Extremely satisfied
18046,Extremely satisfied
18049,Moderately satisfied
18050,Moderately satisfied
18052,Slightly satisfied
18055,Moderately satisfied
18056,Moderately satisfied
18059,Extremely satisfied
18061,Moderately dissatisfied
18062,Moderately satisfied
18063,Moderately satisfied
18065,Extremely satisfied
18066,Slightly dissatisfied
18067,Moderately satisfied
18070,Moderately satisfied
18074,Slightly satisfied
18075,Moderately satisfied
18077,Moderately satisfied
18079,Extremely satisfied
18083,Moderately satisfied
18087,Moderately satisfied
18088,Moderately satisfied
18092,Extremely satisfied
18093,Moderately satisfied
18095,Extremely satisfied
18096,Slightly satisfied
18097,Extremely satisfied
18098,Moderately satisfied
18100,Moderately dissatisfied
18101,Slightly satisfied
18105,Moderately satisfied
18108,Neither satisfied nor dissatisfied
18110,Moderately satisfied
18111,Moderately satisfied
18113,Moderately dissatisfied
18115,Moderately satisfied
18118,Extremely satisfied
18119,Extremely satisfied
18121,Moderately satisfied
18122,Moderately satisfied
18123,Extremely satisfied
18125,Extremely satisfied
18127,Moderately satisfied
18128,Slightly satisfied
18129,Extremely dissatisfied
18132,Moderately satisfied
18133,Slightly satisfied
18134,Extremely satisfied
18135,Moderately satisfied
18136,Slightly satisfied
18137,Moderately satisfied
18138,Neither satisfied nor dissatisfied
18141,Moderately satisfied
18142,Slightly dissatisfied
18145,Neither satisfied nor dissatisfied
18146,Moderately satisfied
18147,Moderately satisfied
18148,Moderately satisfied
18152,Extremely satisfied
18155,Slightly satisfied
18156,Moderately satisfied
18157,Extremely satisfied
18162,Slightly dissatisfied
18167,Moderately dissatisfied
18169,Extremely satisfied
18170,Moderately satisfied
18171,Extremely satisfied
18172,Moderately satisfied
18173,Moderately satisfied
18174,Neither satisfied nor dissatisfied
18179,Moderately satisfied
18180,Extremely satisfied
18181,Neither satisfied nor dissatisfied
18184,Moderately satisfied
18186,Moderately satisfied
18188,Slightly satisfied
18192,Moderately satisfied
18194,Moderately satisfied
18195,Slightly satisfied
18197,Moderately satisfied
18199,Slightly satisfied
18201,Slightly satisfied
18202,Slightly dissatisfied
18203,Moderately satisfied
18204,Moderately satisfied
18205,Slightly satisfied
18208,Moderately satisfied
18209,Slightly satisfied
18210,Moderately dissatisfied
18212,Extremely dissatisfied
18213,Extremely satisfied
18214,Slightly satisfied
18215,Moderately dissatisfied
18219,Extremely dissatisfied
18220,Slightly dissatisfied
18222,Extremely satisfied
18225,Slightly dissatisfied
18226,Moderately satisfied
18227,Moderately satisfied
18229,Moderately satisfied
18230,Neither satisfied nor dissatisfied
18231,Moderately satisfied
18233,Neither satisfied nor dissatisfied
18235,Neither satisfied nor dissatisfied
18237,Moderately dissatisfied
18238,Moderately satisfied
18239,Moderately satisfied
18241,Extremely satisfied
18243,Slightly satisfied
18244,Extremely satisfied
18247,Neither satisfied nor dissatisfied
18248,Neither satisfied nor dissatisfied
18250,Slightly dissatisfied
18251,Moderately satisfied
18252,Moderately dissatisfied
18253,Moderately satisfied
18254,Moderately satisfied
18255,Slightly satisfied
18259,Slightly dissatisfied
18260,Moderately satisfied
18261,Moderately dissatisfied
18264,Slightly dissatisfied
18265,Extremely dissatisfied
18266,Moderately satisfied
18267,Moderately dissatisfied
18268,Moderately satisfied
18270,Slightly dissatisfied
18274,Extremely dissatisfied
18275,Moderately satisfied
18278,Moderately satisfied
18281,Slightly satisfied
18283,Moderately satisfied
18285,Moderately satisfied
18289,Extremely satisfied
18294,Neither satisfied nor dissatisfied
18295,Neither satisfied nor dissatisfied
18296,Extremely satisfied
18297,Moderately satisfied
18298,Moderately satisfied
18300,Extremely satisfied
18301,Moderately dissatisfied
18303,Moderately dissatisfied
18305,Extremely satisfied
18306,Extremely satisfied
18307,Extremely satisfied
18310,Moderately satisfied
18311,Slightly satisfied
18313,Extremely satisfied
18315,Slightly satisfied
18316,Moderately satisfied
18317,Slightly satisfied
18318,Moderately satisfied
18319,Moderately dissatisfied
18322,Moderately satisfied
18323,Slightly dissatisfied
18326,Slightly dissatisfied
18328,Moderately satisfied
18329,Slightly satisfied
18330,Neither satisfied nor dissatisfied
18331,Extremely satisfied
18333,Neither satisfied nor dissatisfied
18334,Moderately satisfied
18336,Slightly satisfied
18338,Extremely satisfied
18341,Slightly satisfied
18342,Slightly satisfied
18343,Moderately satisfied
18344,Slightly satisfied
18345,Moderately dissatisfied
18346,Moderately dissatisfied
18347,Moderately satisfied
18348,Extremely satisfied
18349,Slightly satisfied
18350,Moderately satisfied
18351,Slightly satisfied
18352,Moderately satisfied
18353,Slightly dissatisfied
18355,Slightly dissatisfied
18356,Slightly dissatisfied
18357,Moderately satisfied
18358,Moderately satisfied
18360,Slightly satisfied
18361,Extremely satisfied
18362,Moderately dissatisfied
18366,Moderately satisfied
18367,Slightly satisfied
18368,Moderately satisfied
18372,Slightly dissatisfied
18373,Moderately satisfied
18374,Slightly satisfied
18375,Extremely satisfied
18377,Moderately satisfied
18379,Extremely satisfied
18381,Slightly satisfied
18383,Moderately satisfied
18387,Moderately satisfied
18388,Extremely satisfied
18391,Moderately satisfied
18392,Neither satisfied nor dissatisfied
18394,Slightly satisfied
18395,Slightly dissatisfied
18396,Extremely satisfied
18397,Moderately satisfied
18398,Slightly dissatisfied
18399,Neither satisfied nor dissatisfied
18403,Moderately satisfied
18404,Slightly satisfied
18406,Moderately satisfied
18407,Moderately satisfied
18408,Slightly satisfied
18409,Slightly satisfied
18410,Neither satisfied nor dissatisfied
18413,Neither satisfied nor dissatisfied
18414,Neither satisfied nor dissatisfied
18415,Extremely dissatisfied
18416,Moderately satisfied
18417,Extremely satisfied
18418,Extremely satisfied
18421,Extremely satisfied
18424,Slightly dissatisfied
18425,Extremely satisfied
18426,Slightly dissatisfied
18428,Moderately satisfied
18430,Moderately satisfied
18432,Moderately dissatisfied
18434,Slightly satisfied
18438,Moderately dissatisfied
18441,Moderately satisfied
18442,Moderately satisfied
18444,Slightly satisfied
18445,Extremely satisfied
18447,Neither satisfied nor dissatisfied
18448,Extremely satisfied
18449,Neither satisfied nor dissatisfied
18451,Moderately satisfied
18452,Moderately satisfied
18458,Moderately satisfied
18460,Moderately satisfied
18462,Moderately satisfied
18463,Extremely satisfied
18464,Slightly satisfied
18465,Slightly satisfied
18466,Extremely satisfied
18468,Moderately satisfied
18469,Moderately satisfied
18470,Slightly dissatisfied
18471,Extremely dissatisfied
18472,Slightly satisfied
18473,Extremely satisfied
18474,Extremely dissatisfied
18475,Moderately satisfied
18476,Moderately satisfied
18477,Moderately dissatisfied
18480,Moderately satisfied
18481,Moderately satisfied
18482,Moderately dissatisfied
18483,Moderately satisfied
18484,Moderately satisfied
18485,Moderately satisfied
18487,Extremely satisfied
18488,Slightly dissatisfied
18489,Moderately satisfied
18491,Moderately satisfied
18492,Slightly satisfied
18494,Moderately dissatisfied
18496,Extremely satisfied
18497,Extremely satisfied
18498,Neither satisfied nor dissatisfied
18500,Slightly satisfied
18501,Extremely satisfied
18502,Slightly satisfied
18507,Moderately satisfied
18509,Slightly dissatisfied
18511,Slightly satisfied
18512,Extremely satisfied
18513,Extremely satisfied
18514,Slightly dissatisfied
18516,Moderately satisfied
18517,Slightly dissatisfied
18518,Neither satisfied nor dissatisfied
18519,Extremely satisfied
18520,Moderately dissatisfied
18522,Extremely satisfied
18523,Slightly dissatisfied
18524,Slightly satisfied
18525,Moderately dissatisfied
18526,Extremely dissatisfied
18527,Slightly satisfied
18528,Extremely dissatisfied
18529,Moderately satisfied
18531,Slightly satisfied
18532,Slightly satisfied
18533,Extremely satisfied
18535,Slightly satisfied
18536,Slightly satisfied
18537,Neither satisfied nor dissatisfied
18539,Neither satisfied nor dissatisfied
18541,Moderately satisfied
18542,Slightly dissatisfied
18543,Moderately satisfied
18544,Slightly satisfied
18545,Slightly satisfied
18546,Moderately satisfied
18547,Moderately satisfied
18551,Extremely satisfied
18552,Moderately satisfied
18553,Moderately satisfied
18554,Moderately satisfied
18555,Moderately dissatisfied
18558,Extremely dissatisfied
18559,Neither satisfied nor dissatisfied
18561,Slightly dissatisfied
18563,Extremely satisfied
18565,Moderately satisfied
18567,Moderately satisfied
18568,Moderately satisfied
18569,Extremely satisfied
18570,Moderately satisfied
18573,Slightly satisfied
18574,Slightly dissatisfied
18577,Slightly satisfied
18578,Slightly satisfied
18580,Slightly satisfied
18583,Extremely dissatisfied
18584,Extremely dissatisfied
18585,Extremely satisfied
18587,Moderately satisfied
18589,Moderately satisfied
18590,Slightly dissatisfied
18592,Moderately satisfied
18593,Slightly dissatisfied
18594,Moderately satisfied
18595,Neither satisfied nor dissatisfied
18597,Slightly dissatisfied
18598,Slightly satisfied
18600,Extremely satisfied
18602,Moderately satisfied
18603,Neither satisfied nor dissatisfied
18604,Moderately satisfied
18605,Slightly dissatisfied
18606,Moderately satisfied
18608,Moderately satisfied
18611,Moderately satisfied
18612,Moderately satisfied
18613,Moderately satisfied
18617,Moderately satisfied
18618,Moderately satisfied
18619,Extremely satisfied
18621,Moderately satisfied
18622,Moderately satisfied
18624,Extremely satisfied
18626,Moderately satisfied
18628,Moderately dissatisfied
18629,Extremely satisfied
18631,Extremely satisfied
18632,Moderately satisfied
18634,Slightly satisfied
18635,Moderately satisfied
18638,Slightly satisfied
18639,Moderately satisfied
18640,Moderately satisfied
18641,Moderately satisfied
18645,Extremely satisfied
18647,Moderately dissatisfied
18649,Slightly dissatisfied
18651,Moderately dissatisfied
18652,Moderately satisfied
18653,Moderately satisfied
18655,Slightly satisfied
18656,Slightly dissatisfied
18657,Extremely satisfied
18658,Extremely satisfied
18659,Extremely satisfied
18664,Moderately satisfied
18665,Slightly satisfied
18666,Moderately dissatisfied
18667,Moderately satisfied
18668,Moderately satisfied
18670,Extremely satisfied
18671,Slightly satisfied
18672,Moderately satisfied
18677,Moderately satisfied
18679,Neither satisfied nor dissatisfied
18680,Moderately satisfied
18681,Slightly satisfied
18683,Moderately dissatisfied
18684,Extremely satisfied
18685,Extremely satisfied
18686,Slightly satisfied
18687,Moderately satisfied
18689,Moderately dissatisfied
18690,Extremely satisfied
18691,Slightly satisfied
18692,Moderately dissatisfied
18694,Extremely dissatisfied
18696,Moderately satisfied
18698,Moderately satisfied
18699,Moderately satisfied
18700,Moderately satisfied
18701,Slightly satisfied
18702,Moderately satisfied
18703,Moderately satisfied
18705,Extremely dissatisfied
18706,Moderately dissatisfied
18708,Moderately satisfied
18713,Slightly satisfied
18715,Moderately satisfied
18716,Moderately satisfied
18717,Extremely satisfied
18721,Slightly dissatisfied
18722,Moderately satisfied
18723,Extremely dissatisfied
18725,Extremely satisfied
18726,Extremely dissatisfied
18728,Moderately satisfied
18729,Neither satisfied nor dissatisfied
18730,Moderately satisfied
18731,Slightly dissatisfied
18732,Neither satisfied nor dissatisfied
18735,Extremely satisfied
18736,Neither satisfied nor dissatisfied
18737,Moderately satisfied
18739,Extremely satisfied
18742,Moderately satisfied
18744,Extremely satisfied
18745,Extremely satisfied
18746,Moderately satisfied
18747,Moderately satisfied
18751,Extremely satisfied
18752,Moderately satisfied
18755,Slightly satisfied
18757,Slightly satisfied
18758,Extremely satisfied
18761,Moderately satisfied
18763,Moderately satisfied
18765,Slightly dissatisfied
18766,Extremely satisfied
18768,Slightly dissatisfied
18769,Slightly satisfied
18772,Moderately satisfied
18774,Moderately dissatisfied
18776,Moderately satisfied
18778,Slightly dissatisfied
18779,Neither satisfied nor dissatisfied
18780,Moderately dissatisfied
18781,Moderately satisfied
18782,Moderately satisfied
18783,Moderately satisfied
18784,Moderately satisfied
18785,Slightly satisfied
18786,Neither satisfied nor dissatisfied
18789,Slightly satisfied
18790,Extremely satisfied
18791,Extremely dissatisfied
18793,Moderately satisfied
18794,Moderately satisfied
18795,Extremely satisfied
18797,Moderately satisfied
18800,Moderately dissatisfied
18804,Moderately dissatisfied
18809,Moderately satisfied
18810,Moderately satisfied
18811,Moderately satisfied
18812,Extremely satisfied
18814,Extremely satisfied
18815,Slightly dissatisfied
18817,Moderately dissatisfied
18818,Extremely satisfied
18820,Extremely dissatisfied
18821,Moderately satisfied
18823,Moderately satisfied
18824,Slightly satisfied
18825,Moderately dissatisfied
18827,Slightly satisfied
18828,Neither satisfied nor dissatisfied
18830,Neither satisfied nor dissatisfied
18831,Slightly satisfied
18832,Extremely satisfied
18834,Moderately satisfied
18835,Extremely satisfied
18836,Slightly satisfied
18837,Slightly satisfied
18839,Extremely satisfied
18840,Moderately satisfied
18841,Moderately satisfied
18842,Neither satisfied nor dissatisfied
18843,Slightly dissatisfied
18844,Extremely satisfied
18845,Moderately dissatisfied
18847,Moderately satisfied
18848,Extremely satisfied
18849,Extremely satisfied
18850,Slightly satisfied
18852,Moderately satisfied
18854,Slightly satisfied
18855,Moderately satisfied
18856,Moderately satisfied
18858,Slightly satisfied
18859,Extremely satisfied
18861,Extremely satisfied
18862,Neither satisfied nor dissatisfied
18864,Moderately dissatisfied
18865,Slightly satisfied
18866,Moderately satisfied
18867,Extremely satisfied
18868,Slightly satisfied
18869,Moderately satisfied
18870,Extremely satisfied
18871,Extremely satisfied
18872,Extremely satisfied
18874,Moderately dissatisfied
18877,Moderately satisfied
18878,Extremely satisfied
18879,Moderately dissatisfied
18882,Neither satisfied nor dissatisfied
18884,Slightly satisfied
18885,Slightly satisfied
18888,Moderately satisfied
18890,Moderately satisfied
18893,Slightly dissatisfied
18895,Moderately satisfied
18897,Slightly satisfied
18898,Moderately satisfied
18900,Moderately satisfied
18902,Extremely satisfied
18903,Moderately satisfied
18904,Moderately satisfied
18906,Moderately satisfied
18907,Slightly dissatisfied
18908,Slightly satisfied
18909,Extremely satisfied
18911,Neither satisfied nor dissatisfied
18914,Moderately satisfied
18915,Slightly satisfied
18918,Neither satisfied nor dissatisfied
18919,Slightly dissatisfied
18923,Extremely satisfied
18924,Neither satisfied nor dissatisfied
18928,Slightly dissatisfied
18930,Slightly satisfied
18933,Extremely satisfied
18936,Neither satisfied nor dissatisfied
18938,Extremely satisfied
18941,Extremely satisfied
18945,Moderately satisfied
18946,Extremely satisfied
18947,Slightly dissatisfied
18950,Slightly dissatisfied
18951,Moderately satisfied
18955,Extremely satisfied
18959,Neither satisfied nor dissatisfied
18962,Moderately satisfied
18966,Moderately satisfied
18967,Slightly satisfied
18969,Neither satisfied nor dissatisfied
18973,Moderately satisfied
18974,Moderately satisfied
18975,Moderately satisfied
18977,Extremely satisfied
18980,Slightly satisfied
18981,Moderately satisfied
18983,Moderately satisfied
18984,Extremely dissatisfied
18986,Slightly dissatisfied
18991,Moderately satisfied
18992,Moderately satisfied
18993,Moderately satisfied
19000,Moderately satisfied
19001,Moderately satisfied
19002,Extremely satisfied
19003,Slightly satisfied
19004,Moderately satisfied
19005,Slightly satisfied
19007,Moderately dissatisfied
19008,Extremely dissatisfied
19009,Moderately satisfied
19010,Slightly satisfied
19011,Moderately satisfied
19012,Moderately satisfied
19013,Slightly satisfied
19014,Slightly satisfied
19016,Slightly satisfied
19017,Neither satisfied nor dissatisfied
19020,Moderately satisfied
19021,Neither satisfied nor dissatisfied
19022,Slightly satisfied
19023,Slightly dissatisfied
19025,Moderately satisfied
19026,Slightly satisfied
19027,Moderately satisfied
19029,Slightly satisfied
19030,Neither satisfied nor dissatisfied
19032,Extremely satisfied
19036,Slightly dissatisfied
19038,Extremely satisfied
